    264,28    927,28     16,75    525,58    768,45
    358,48    141,77    847,31    471,00    338,79
    364,02    639,05     25,08    918,15    637,13
    462,27     38,38    799,24     48,62    862,15
    469,42    832,51    941,34    569,34    261,73
    486,13    296,64    991,59    436,47    220,72
    403,00    513,41    697,23    664,62    745,04
    291,02    839,80    107,26    865,44    554,84
    905,35    106,80    675,57    913,46     67,09
    942,68    320,75    790,41    698,63    234,36
